"FD.metric","statistic","lag_1","lag_2","lag_3","lag_4","lag_5","lag_6","lag_7","lag_8","lag_9","lag_10","lag_11","lag_12","lag_13","lag_14","lag_15","lag_16","lag_17","lag_18","lag_19","lag_20","lag_21","lag_22","lag_23","lag_24","lag_25","lag_26","lag_27","lag_28","lag_29","lag_30","lag_31","lag_32","lag_33","lag_34","lag_35","lag_36","lag_37","lag_38","lag_39","lag_40","lag_41","lag_42","lag_43","lag_44","lag_45","lag_46","lag_47","lag_48","lag_49","lag_50","lag_51","lag_52","lag_53","lag_54","lag_55","lag_56","lag_57","lag_58","lag_59","lag_60","state.metric","system","res"
"FDis","x_y.F","5.6006216028466","2.66787718090723","1.87221050720463","1.46122097004231","1.56215853391273","1.30532079432388","1.19062311860922","1.16490598353472","1.0565772958859","0.897155441814167","0.943067081107594","0.911087195034693","0.950356593758386","0.879026878633425","0.828389217014055","0.772326669527419","0.732052731767225","0.738424779352745","0.781239008218258","0.779540166540346","0.752732822680333","0.751654081586564","0.718352543860527","0.804146105903023","0.769698292608588","0.793694839362998","0.750207074382378","0.72844554987628","0.826004560586686","0.803013279792453","0.788639659711067","0.813060005377361","0.793703009361776","0.77849404146179","0.953627982023996","1.13467414455125","1.13258934345436","1.10351933136174","1.12065320430727","1.13060795902903","1.13406108521494","1.17030943156592","1.14644427691158","1.1056558965734","1.10491714011093","1.08768466418741","1.08497304202679","1.05808049524925","1.05612426128602","1.08891511669438","1.13183385161098","1.14033203355832","1.1484047689257","1.1254357833606","1.07506632514757","1.05732117505515","1.01528188924162","0.999745441245509","1.03892685977997","1.03398868245048","density","Kinneret","Month"
"FDis","x_y.P","0.0181314214199401","0.0698636343875328","0.132524804568908","0.211873873432694","0.1680235153302","0.251775783893999","0.305141623913432","0.317280190097852","0.392665124412952","0.535211507095663","0.497733024039421","0.535099944743697","0.499471791154626","0.581865962668118","0.64627939146435","0.718321240774218","0.771452610241313","0.772836918659205","0.731456691387577","0.74049586468872","0.778928507560484","0.786823826473192","0.830225304387755","0.734335543518042","0.783461338437465","0.758636535538714","0.81762077652544","0.847192205185446","0.729244779803584","0.765572915356167","0.789240108953174","0.760276184791683","0.791033807814928","0.815082958699695","0.546914847046457","0.271482798127705","0.272220073149116","0.309514554847364","0.284349801985375","0.269316295341953","0.262978434892889","0.215887077553589","0.243229130108805","0.297853134084113","0.297574053964332","0.322733015325793","0.325941632278801","0.369771418814789","0.372510158213322","0.316358288515452","0.249661395729963","0.236223734318251","0.223649471562283","0.254610221520557","0.334869765166066","0.366004490798124","0.446864418690168","0.47864165144655","0.399564593827092","0.409025219482056","density","Kinneret","Month"
"FDis","x_y.sig","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","density","Kinneret","Month"
"FDis","x_y.aic","1621.57271156008","1603.21567410922","1606.3017162258","1610.12227977842","1611.52215195705","1617.06925752032","1613.64273145254","1600.554377453","1598.70573413351","1594.71968517677","1592.08571330574","1592.39695692788","1595.46927176938","1601.37761996125","1599.95481555828","1606.11492968599","1602.90343597887","1604.75458807703","1605.48246157356","1609.09385700157","1615.94633200985","1621.89711408912","1628.09881966004","1626.65539872285","1632.78313804231","1637.11327540318","1641.45793158095","1644.14076818836","1637.63951097743","1644.25794320966","1643.81513049884","1647.29641001793","1654.14729359841","1656.90465104151","1652.21438351189","1648.84180756843","1653.94979085139","1656.34845077135","1660.0052168683","1662.73344042954","1667.3818914803","1660.62454691521","1663.37456035293","1665.32012819051","1670.24752379402","1671.09111757523","1675.60252950329","1679.31687924779","1680.7062450913","1681.33937942326","1680.79096154349","1677.7833853554","1677.56072463487","1680.6481181684","1680.75866393224","1684.4159555333","1691.41103116114","1694.33362734008","1694.3946092744","1695.80308601228","density","Kinneret","Month"
"FDis","y_x.F","11.5819830420203","8.43991322923681","5.23681787401581","4.35268865434442","3.89628520467212","3.19061172074131","3.08202857260394","2.92472034149685","2.31515463204488","1.93869084995775","1.71883785040402","1.5619030785651","1.45547284361038","1.39377837879683","1.38382070157445","1.21371087404019","1.35008925965485","1.28995016832106","1.47795861516609","1.38539524485646","1.32647028211609","1.29365506773101","1.22655297415768","1.27029945591422","1.23863383214784","1.23494053258095","1.21176104500632","1.27180005801091","1.2518910572624","1.22457897800327","1.18891364332674","1.1996901658886","1.17060068831339","1.2203364171054","1.21608539140485","1.15702458285188","1.16014731423521","1.14228095455429","1.17012605737081","1.20030646223747","1.18096363710999","1.2427062932412","1.10471291509562","1.1046395920537","1.11011632142834","1.11493103660847","1.10417651647681","1.10675436867748","1.09716932985772","1.07625515295907","1.12986749912583","1.2003393750154","1.19296645345893","1.20008023953688","1.16003513081043","1.14377384067725","1.10869783785792","1.07980894256028","1.05857595274493","1.04085909970796","density","Kinneret","Month"
"FDis","y_x.P","0.000690601797600721","0.000230867761273457","0.00136799944744792","0.00170165232139252","0.00166827359015098","0.0041534918511813","0.00321640016987645","0.00311340440919172","0.014064475841568","0.0368508470396154","0.0644836880673831","0.0970114427865328","0.127923510784966","0.148808524979115","0.147476441179519","0.250121670981461","0.153886337499995","0.185495710795216","0.0849274908101632","0.119975363261282","0.148016681170658","0.164827378297445","0.21185584454695","0.173374546599263","0.194517643617179","0.19410492200568","0.211188263388822","0.157777065012598","0.170016775581311","0.190212374905384","0.221502773821724","0.207935913785577","0.235730363882386","0.182590695063741","0.1839073885179","0.244241044496804","0.238391870939539","0.258015311255694","0.222435846532154","0.187219341409974","0.205794379060398","0.142390161245333","0.300629257654992","0.299352602065","0.289893092977076","0.281420866196657","0.296014235426761","0.290787843100982","0.304320203118446","0.337248020195226","0.252464695725393","0.162804719207571","0.169041407570198","0.159575759992364","0.205155806392114","0.225441364375692","0.27648457790195","0.323963454744669","0.361853557387983","0.395423523505024","density","Kinneret","Month"
"FDis","y_x.sig","*","*","*","*","*","*","*","*","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","density","Kinneret","Month"
"FDis","y_x.aic","1621.57271156008","1603.21567410922","1606.3017162258","1610.12227977842","1611.52215195705","1617.06925752031","1613.64273145254","1600.554377453","1598.70573413351","1594.71968517677","1592.08571330574","1592.39695692788","1595.46927176938","1601.37761996125","1599.95481555828","1606.11492968599","1602.90343597887","1604.75458807703","1605.48246157356","1609.09385700157","1615.94633200985","1621.89711408912","1628.09881966004","1626.65539872285","1632.78313804231","1637.11327540318","1641.45793158095","1644.14076818836","1637.63951097743","1644.25794320966","1643.81513049884","1647.29641001793","1654.14729359841","1656.90465104151","1652.21438351189","1648.84180756843","1653.94979085139","1656.34845077135","1660.0052168683","1662.73344042954","1667.3818914803","1660.62454691521","1663.37456035293","1665.32012819051","1670.24752379402","1671.09111757523","1675.60252950329","1679.31687924779","1680.7062450913","1681.33937942326","1680.79096154349","1677.7833853554","1677.56072463487","1680.6481181684","1680.75866393224","1684.41595553329","1691.41103116114","1694.33362734008","1694.3946092744","1695.80308601228","density","Kinneret","Month"
"FDis","x_y.F","2.56011387001587","1.86711205072125","1.44639351092375","1.19255531321597","1.04614866923997","1.19236932075103","1.04115403943767","0.694631237222356","1.108601792506","0.819073969634288","0.915271657522833","0.895707974363718","0.850106830637816","0.807787606162622","0.999871730401146","1.05705311603016","1.05605803021911","1.21132578761224","1.14673812345989","1.08733469935652","1.06834052647114","1.01916595872339","1.1162085738439","1.05997825298643","1.05742389842614","1.32629596847078","1.2702847792791","1.22595668901575","1.24068741914782","1.18568449133037","1.13121369124814","1.13265551082818","1.08523873387934","1.07643056354617","1.04921228249542","1.02089845424767","0.993690911041171","1.02704007678736","1.05924510777014","1.02967839811499","1.06739239056841","1.05037083253193","1.11547720908433","1.05999165836814","1.03935694899645","1.02057492327925","1.00041041169684","1.03375624419635","1.01188277674378","0.985501821508792","0.984292044356132","0.983303726494856","0.976010509577872","0.966493856234871","0.972929479174635","0.98306597711083","0.999065864321292","1.03480424527732","1.01407015663806","1.00876933442145","community","Kinneret","Month"
"FDis","x_y.P","0.109885888120619","0.155075485122023","0.227740530721523","0.312385172138509","0.389021318423033","0.307787731014048","0.400315199631241","0.696579632321217","0.353491044097737","0.610287402244674","0.524757158125125","0.5509324483671","0.606537822821964","0.661298450279182","0.452641347649884","0.392880849304722","0.393518051477533","0.243756555537955","0.297662208555448","0.356746443626752","0.377050892390619","0.436633454665257","0.319619185532775","0.384644181702491","0.387159722588214","0.127823187133305","0.162366507158335","0.195221327458822","0.179293979325365","0.227529819709637","0.28573791995575","0.281943909579129","0.341875079018432","0.353060851630434","0.392359681561768","0.436464906704295","0.481609684317575","0.426381093599754","0.374224496808084","0.421703037690625","0.359789968715619","0.386537322565953","0.285105647395349","0.369343715826864","0.403774628359945","0.436875786155987","0.474141895639639","0.412725144755348","0.453019386937756","0.503987932475106","0.506931075080408","0.509467230035163","0.524702235377318","0.544743778634031","0.532383588724441","0.512206323763471","0.47976841749566","0.407954661974216","0.449371335431418","0.460353648770584","community","Kinneret","Month"
