"date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1977,0.748014759770879,0.442708473568981,0.0047429450941232,0.135463538493228,0.994957976207313,0.2159312440733,7,0.876996474288697,0.59193801032325,0.909440146915006
1978,0.74211825894748,0.476552999224826,0.00117924000672952,0.157956062573496,0.863062406753649,0.258340695919678,6,0.94015912468206,0.570502881309373,0.912198034191212
1979,0.686172933382069,0.575723583018146,0.0376179317014789,0.218090956326112,0.98918980920372,0.394515285122487,12,1.14001968854024,0.62253825325845,0.869624644165231
1980,0.718832883358648,0.645762990439729,0.038152183455091,0.277300088494291,0.974227037250564,0.211004360840089,11,1.26155215488231,0.622670270059177,0.861676292615827
1981,0.746206252862855,0.519578929905341,0.0335690722427527,0.226444077181814,0.976196761691647,0.315521666804768,11,0.999933300651585,0.65057505969588,0.881624836326854
1982,0.736672226967306,0.470006373359325,0.0047429450941232,0.163614093596394,0.99174375791327,0.229583255574071,7,0.944665957651518,0.597137715004481,0.906267104514976
1983,0.75071069390223,0.747691693116394,0.0103796016495119,0.345087845211031,0.967969936407085,0.227008204502056,8,1.28477464803235,0.59654679138024,0.87578955406319
1984,0.389861249754298,0.749060822977272,0.0255188723650679,0.335604574845032,0.929444316930629,0.362294459315531,11,1.4058981304181,0.536523474855355,0.847198398174766
1985,0.549705263575896,0.866603454525895,0.0445260985202668,0.322985852552942,0.75089485490923,0.351919945655888,11,1.8310803107979,0.54100878273084,0.806131695756709
1986,0.771670164007198,0.790960931924318,0.0445260985202668,0.299670707911933,0.737576035428417,0.0892371346482288,10,1.65100864137194,0.550551017910151,0.833180672711487
1987,0.760913760321,0.768373227387521,0.0451828942289717,0.291387797482272,0.818613189002544,0.29250339732048,11,1.59542620549648,0.573190305343288,0.832147631685283
1988,0.735168760829831,0.781213063288331,0.0507289832357714,0.296665788246831,0.808789664339908,0.268976652984362,12,1.66624374377541,0.551382069085762,0.819745551666252
1989,0.463749507252666,0.753739507172493,0.0451828942289718,0.28716798026424,0.785693371399621,0.243453931911173,12,1.61500753192179,0.534059070370072,0.824120594744365
1990,0.751804346976987,0.804558983143984,0.0881129658279162,0.304412513575631,0.85025801061825,0.207704280648374,15,1.77230293964108,0.5530085560421,0.784989313954679
1991,0.491085361096015,0.781091787428617,0.0610937866160473,0.293965292604145,0.81569368830638,0.238129415219905,14,1.71580240474235,0.53679808080619,0.799358279569663
1992,0.750918011727928,0.738816845178268,0.0451828942289717,0.277667205749098,0.766859844548546,0.294521462975959,12,1.56326064949657,0.554949556905974,0.830788939987174
1993,0.629354046233164,0.721558697905712,0.0684030734883344,0.257267302163308,0.664552442067458,0.33103741560832,14,1.58645776216737,0.503948046766322,0.814132667113061
1994,0.543557734529983,0.855047297657946,0.0507289832357714,0.312625295172143,0.776831812754402,0.211752204892563,14,1.92992396918845,0.5291362435742,0.771185917591727
1995,0.483913000648089,0.782596138528214,0.0684030734883344,0.295550285084443,0.789702160700354,0.1666613397655,16,1.67860724799479,0.54085180327533,0.794862662272271
1996,0.761671298817833,0.842817005591268,0.0891606659690879,0.317875252498695,0.862949537325236,0.111380248595546,14,1.77175966453097,0.555311796348428,0.789571638136089
1997,0.681540886032282,0.843030772658041,0.0840184031989158,0.324730414069059,0.834612939476207,0.141522836386813,14,1.76183800501609,0.5681980915893,0.792604657532608
1998,0.536743673752179,0.841488547760748,0.0699094842953372,0.318363540970737,0.834334960562751,0.187409328571472,14,1.77752353817717,0.529940605327934,0.789899884930347
1999,0.602925371403248,0.860181301959698,0.0684030734883344,0.343276084012839,0.842492487339483,0.211107757534834,14,1.78657973391767,0.55901564157755,0.78920879582132
2000,0.547701598976598,0.864548033790941,0.0926290075388647,0.317323232306273,0.81045891689006,0.224747118348294,17,1.88900163043966,0.541073942764497,0.758457400054893
2001,0.663068286151116,0.849556682816889,0.0699094842953373,0.325801609289374,0.851555732554079,0.196556665564659,14,1.8470245874041,0.54917069131693,0.782682725949524
2002,0.544885509003825,0.82191533417501,0.0612988799553883,0.315309350941842,0.83402435565057,0.102881230982656,13,1.72250989553074,0.545434225178779,0.803645543438246
2003,0.480880680717942,0.799318236148094,0.0612988799553883,0.307454668118909,0.854354195868452,0.0570657094319381,14,1.6987278783002,0.553635001762514,0.802287405197643
2004,0.675810739012914,0.812353481508613,0.0949600632100762,0.314053336190741,0.874815736899782,0.194174666482875,16,1.72038661256511,0.558254045909488,0.787407180224036
2005,0.535276957717728,0.827919693004259,0.0801021933448177,0.321747667726884,0.849263408212824,0.307570796467011,16,1.73992748441511,0.529859961977708,0.784537827947141
2006,0.494891882663845,0.859241612475932,0.0926290075388647,0.30799905453103,0.814396354737016,0.243105880805768,17,1.89435175790378,0.531862573241532,0.759074085295832
2007,0.547586176703477,0.862623710801782,0.0926290075388647,0.314607382844126,0.836184155085317,0.276868536188037,15,1.84279776489917,0.532910853210482,0.775938830356428
2008,0.52765827391628,0.831597296142406,0.0926290075388647,0.323424970958565,0.841998751657796,0.185363864271939,16,1.71570359693583,0.539785682064651,0.787517540016058
2009,0.463164969253546,0.802211394788726,0.0949600632100762,0.306652362864661,0.8443066616374,0.23091657227036,17,1.69266127702744,0.534685461731674,0.787639147062309
