"date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1977,0.740952915241545,1.13901444863426,0.343649005070522,0.737158626334184,0.984139679318193,0.167642,55,1.75634965461658,0.489218633558532,0.938538295322601
1978,0.416721834104117,0.847476236661625,0.305942906196078,0.609979308537764,0.992758865873084,0.173034,53,1.33868500513081,0.474933559566017,0.950212110718475
1979,0.255748805044601,1.04368180776255,0.283051993474599,0.721898498980606,0.894716321189963,0.327263,55,1.50335330434028,0.386668779471666,0.954076775646826
1980,0.211652376022164,0.856822618538255,0.321030940302366,0.672437949786582,0.988207584967499,0.210087,56,1.33441244664756,0.404533151663804,0.949432558380817
1981,0.0553210996612229,0.211654305180788,0.335701231499291,0.166907859106488,0.993188091091922,0.315572,54,0.414495467599069,0.370642870745107,0.973905383284088
1982,0.0196739761083085,0.220581600419431,0.218102279737398,0.185691535500598,0.997630527675828,0.305326,51,0.416112895335548,0.354269325708612,0.975926038989169
1983,0.436803239622472,1.18936135463676,0.415427001449691,0.74901268262733,0.969965114479144,0.219255,61,2.16845957042543,0.396492097126791,0.9082756217642
1984,1.19718384860291,0.163105473489672,0.361527647052349,0.10840324715562,0.998767792227884,0.312802,63,0.335674669527943,0.463942210076167,0.976306525219833
1985,0.795457080420947,0.992665821562056,0.371775094767518,0.68346582245507,0.988495652168662,0.341161,68,1.47187373633685,0.458680025340429,0.945263562591147
1986,0.253622073335246,1.18583598639917,0.542615176154244,0.873508054618167,0.976087644809173,0.313526,70,1.81675086603739,0.425120421556497,0.927761015301538
1987,0.105010262697174,0.711326607987546,0.450100084981692,0.57186138276199,0.996155188443005,0.383913,68,1.09947997743532,0.386065502770637,0.949666231867627
1988,0.0931617987723195,0.98600274134318,0.355875820765944,0.793610203700184,0.990176396474475,0.23978,72,1.5572962206798,0.431649001960317,0.930638175053721
1989,0.158070295179366,0.976262250335139,0.38212532385565,0.763226533351077,0.994769943496099,0.311826,74,1.46216804187067,0.455024690797853,0.940307512135908
1990,0.0463212313782021,1.12309181024579,0.382809283661045,0.96453553905247,0.996618556050851,0.314876,71,1.39479043060308,0.427335826092981,0.953732933151823
1991,0.135261976705048,0.885396050659117,0.351336109162189,0.681937525851926,0.994320545321895,0.341638,70,1.49080132402903,0.456848715529687,0.928770178649783
1992,0.0574092608438151,0.417445433170365,0.499340823621483,0.354615216505292,0.993309420126013,0.221266,75,0.736581809660803,0.472108093497216,0.954266645386729
1993,0.082674798278273,0.53221593706112,0.427427067073184,0.427142444738149,0.988059881641762,0.252148,73,0.982197548104423,0.454170173550201,0.940434633368293
1994,0.164927524823412,0.819718744164535,0.57072983733214,0.632701669343662,0.992870841658443,0.341036,75,1.34110120370101,0.454140333938318,0.931341622530846
1995,0.0891817429170445,0.779650209638656,0.452251478604218,0.640375816249039,0.992406801703959,0.341657,80,1.27883121049018,0.444228705857405,0.930250645212439
1996,0.0939836852477939,0.6122298726028,0.597504144320093,0.490227644670071,0.99260388210515,0.265699,86,1.11008302919271,0.462635658916044,0.932782523361262
1997,0.0508482496748406,0.49905853813665,0.753998994963853,0.405471663608494,0.994491779875859,0.220555,95,0.953060028531762,0.452927622832934,0.934254125980565
1998,0.075131627621521,0.455799404229514,0.466140577769928,0.367564870389926,0.996026497093639,0.263606,82,0.911027148533576,0.455027281988427,0.940745318354948
1999,0.0650870179956058,0.68495660574424,0.431956903454786,0.562616226932294,0.991754823999807,0.20887,85,1.18419273107072,0.451787273312915,0.93270067641453
2000,0.0413662042629824,0.442467192741093,0.494253777720574,0.366921710631547,0.995308750414562,0.240574,89,0.80397396073938,0.450886762692526,0.948528099858633
2001,0.0276451309688639,0.201426696025539,0.622441373564372,0.16548145743277,0.998743616627247,0.238027,91,0.439814127375818,0.46167016203785,0.963186946636884
2002,0.0947869880771468,0.757726587573365,0.772927707905585,0.585173293971075,0.992925936593596,0.307638,105,1.37947377670778,0.448079174327849,0.909656388765628
2003,0.0684255636795428,0.914525849142263,0.662450260266198,0.732655371299145,0.99271587181577,0.197691,97,1.54312512139876,0.446717390827955,0.909499537070814
2004,0.131922514142032,0.590811764050858,0.686538211083066,0.458775684026429,0.987462228663,0.244868,93,1.10390288066974,0.456452999793563,0.925925134061688
2005,0.212849166257414,0.946358893589587,0.835668132515828,0.685316920855327,0.987005578186298,0.305703,103,1.73850765768576,0.463538388985372,0.895277271919154
2006,0.0717290115009616,0.93612529097599,0.592527107934184,0.712811835677455,0.991902953408358,0.254427,100,1.64332320139203,0.449170816895622,0.904628706363927
2007,0.02824213358705,0.463839545325649,0.611343490693947,0.369374634571982,0.996621525563909,0.204804,104,0.8947921471851,0.472230152730566,0.934871559514768
2008,0.0337693783229659,0.39011083058137,0.814843587740109,0.31719594693184,0.995080689392086,0.195851,99,0.797927123237809,0.457216585551328,0.937668594724912
2009,0.059847984725746,0.384277377123176,0.6457324897918,0.30783970646624,0.986723710463558,0.167729,93,0.741830708299288,0.45737838255069,0.944853463156351
