"date","date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1981.58333333333,1981.58333333333,0.917081512220526,1.13319352110401,6.54300058147283e-07,0.292603210804747,0.91000934687863,0.50631323616682,29,2.29296299986335,0.427227360921872,0.89546279863395
1981.66666666667,1981.66666666667,0.982529011669341,1.08328312859807,6.54300058147283e-07,0.278450108088415,0.906028048969471,0.469536516908552,29,2.06986032256136,0.424386495496749,0.909539846823167
1981.75,1981.75,0.847362286192667,1.03821516222971,6.54300058147283e-07,0.256001161270152,0.879302237728077,0.494342378843184,29,1.98579251673685,0.397934405685498,0.914149434872712
1981.83333333333,1981.83333333333,0.910715316531501,0.997172863225955,3.57193920995085e-07,0.263904241486945,0.869658283344562,0.499105494182874,28,1.87348654873782,0.399702993524513,0.918808883491482
1981.91666666667,1981.91666666667,0.870271357720272,0.9792450902863,3.57193920995085e-07,0.273354796643743,0.862055452743433,0.46371552753169,28,1.78834739510627,0.403634473349373,0.923028454221801
1982,1982,0.84968661754347,0.763342205604892,3.57193920995085e-07,0.1807734156205,0.984017559392388,0.545772372174607,28,1.57230219451964,0.417840842942173,0.925755585384617
1982.08333333333,1982.08333333333,0.827080751995262,0.78426720361532,3.57193920995085e-07,0.184531108790725,0.985699370842751,0.480408520518763,28,1.58561918993829,0.421388050659127,0.926345732685715
1982.16666666667,1982.16666666667,0.814641957896419,0.823504888683292,3.57193920995085e-07,0.196738954849476,0.982687143197468,0.448740142535808,28,1.65767698544867,0.423809494052884,0.923676271731079
1982.25,1982.25,0.803229365364331,0.856235476531837,3.57193920995085e-07,0.204417882429728,0.974787546699222,0.451972804679729,29,1.74608027435505,0.420800937120112,0.91878652721043
1982.33333333333,1982.33333333333,0.782576832673908,0.832862075099967,3.57193920995085e-07,0.194529153347589,0.979614226528505,0.48549051645345,29,1.66331058114031,0.42297595399693,0.92438668297404
1982.41666666667,1982.41666666667,0.779960175285482,0.863905649327467,3.57193920995085e-07,0.207713746857845,0.978548827888143,0.498579374622942,29,1.72157534679243,0.424613941288382,0.921794697532484
1982.5,1982.5,0.846664732028202,0.911909282238334,3.57193920995085e-07,0.214298796967669,0.978435531302965,0.4551574675209,29,1.82839890945656,0.422690564681045,0.916632090217986
1982.58333333333,1982.58333333333,0.945880761808662,0.867623451135137,3.57193920995085e-07,0.200478643993414,0.983563850568196,0.485522455473064,29,1.62960832898823,0.413559243807442,0.929925283383459
1982.66666666667,1982.66666666667,0.953683141403936,0.814956935716135,3.57193920995085e-07,0.184228043067064,0.982856853174932,0.509509310938685,29,1.52232100730064,0.406905776892129,0.934956470479162
1982.75,1982.75,0.994294293871587,0.793986988804593,3.57193920995085e-07,0.184982532471032,0.985345828749535,0.50863493182218,29,1.42560948760054,0.408675894082722,0.940364370366403
1982.83333333333,1982.83333333333,0.94039027468124,0.81642460481233,3.55165914205795e-07,0.192133335672304,0.973614100603327,0.4602622498659,28,1.6366605840988,0.412133445580735,0.925513496624978
1982.91666666667,1982.91666666667,0.970740716049592,0.352808220603131,2.07049305462797e-07,0.095665016152108,0.989034557618766,0.446508016404786,27,0.782466806300409,0.396302262423915,0.957313402044608
1983,1983,0.9632303106428,0.312986089415712,2.07049305462797e-07,0.076844018601549,0.984885263156946,0.448838894504853,27,0.727116858907696,0.390209792386064,0.959617959125915
1983.08333333333,1983.08333333333,0.946270943399149,0.432841360212729,2.07049305462797e-07,0.107545326292402,0.971358401151389,0.476933738098149,27,0.958387793048776,0.387999678719611,0.950313997322045
1983.16666666667,1983.16666666667,0.93353139393753,0.590345174344659,1.90967887783637e-07,0.149345602950985,0.957520330997403,0.470627723946207,26,1.23307142293335,0.38672398253888,0.941135726638912
1983.25,1983.25,0.912598409608779,0.791467560294683,1.90967887783637e-07,0.203155788388796,0.934998862750986,0.471474329869919,26,1.58707912137428,0.390146511269162,0.928548583490771
1983.33333333333,1983.33333333333,0.799750845947317,1.06933383171303,1.90967887783637e-07,0.293933821822823,0.836638805176676,0.508689542204271,26,2.26031388807267,0.39997689718443,0.898044628516247
1983.41666666667,1983.41666666667,0.806812135250543,1.09961848080275,1.90967887783637e-07,0.297289993337689,0.859163533316783,0.462081697657266,26,2.32836728761026,0.400820490361296,0.894838813010083
1983.5,1983.5,0.862563372810295,1.10189225345163,1.57188789054026e-07,0.288237577175693,0.858005249471138,0.419934781068866,25,2.25968266022656,0.396560402761906,0.901364430036561
1983.58333333333,1983.58333333333,0.920611485625214,1.1194458726946,1.57188789054026e-07,0.285439031166414,0.886245029916954,0.422164196037876,25,2.23695906329023,0.401451714005881,0.904558777831471
1983.66666666667,1983.66666666667,0.925931496020575,1.12307352953485,1.57188789054026e-07,0.289183194198064,0.886286368509294,0.420243278223269,25,2.2391215295219,0.404927233299685,0.90393449132752
1983.75,1983.75,0.957977180322455,1.13650773584561,1.57188789054026e-07,0.295197219845187,0.891427325241633,0.417695430030208,25,2.2305251657105,0.411549355531409,0.904760888132563
1983.83333333333,1983.83333333333,1.01464902628402,0.993467482598938,1.57188789054026e-07,0.306685423325266,0.929574629035626,0.420565565338245,25,1.77422126483639,0.498946950775727,0.923716475930824
1983.91666666667,1983.91666666667,1.01271106637931,1.0293654778358,1.57188789054026e-07,0.309609911730201,0.915863191638344,0.427899023910025,25,1.84880325188179,0.487521034763923,0.922293212524346
1984,1984,1.00968059982064,1.05919490083765,1.57188789054026e-07,0.307116676057184,0.893563116794231,0.459458998989697,25,1.87366317183636,0.469686707091842,0.923814160127134
