"date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1995,0.896999263178023,1.05384775272837,0.338237266980543,0.571327874889602,0.757104902908085,0.193748,53,1.8773297845843,0.368844297275891,0.935258116082136
1996,0.757278493980827,1.06169187314552,0.249608149268914,0.594789434682811,0.652453346330765,0.224341,47,1.86895350927885,0.33663629776069,0.940991970242259
1997,0.95776683053552,0.806357883787819,0.282822927175423,0.432978413789555,0.522760531013054,0.135345,42,1.40886505280058,0.340698648413335,0.95295611742534
1998,1.00333978811331,0.912575077529197,0.387220784208369,0.52405873429256,0.729183603621739,0.255511,47,1.38981651535899,0.377873318400382,0.956796474309573
1999,1.030152799814,0.571656679724765,0.299945711934264,0.338838895919352,0.509919263671305,0.297273,52,0.96741153502331,0.330059291999423,0.962920010199122
2000,0.512694919681445,1.25169394172039,0.49450054087271,0.783032675156767,0.776795536671661,0.27368,61,2.1243403462558,0.381829608732715,0.927961029408642
2001,0.635782607124013,1.22569125228364,0.350515494454303,0.758788600176543,0.847016255673393,0.257284,64,2.08497358762097,0.3795470803685,0.92194288999629
2002,1.17956195458443,0.455196877218222,0.278881321333673,0.228649443414082,0.445490342086342,0.224979,46,0.76236757045748,0.333015535724196,0.968072312873554
2003,1.04987418338518,0.595916081614635,0.132326630359422,0.334736985762452,0.495190307321789,0.225867,38,1.06216245370531,0.293105735960035,0.962429355055279
2004,0.635570325491265,1.05764303574727,0.257570523511185,0.678794067167489,0.859243389504449,0.229623,48,1.82733167397363,0.321813420612038,0.940407860793547
2005,0.851347292350617,0.894994102461472,0.298552416362587,0.546036056899902,0.785803599197379,0.240893,55,1.51836325436512,0.337116986941998,0.945063693027994
2006,1.02148027706449,0.835570892626626,0.296264638383605,0.462280410484538,0.537885856949728,0.148747,50,1.42387789261711,0.301196270259603,0.949860310739432
2007,0.834986198190393,1.0861364449365,0.366433857712425,0.577144722561015,0.685682011286671,0.186403,59,1.89043870500452,0.326964281752027,0.935253981359163
2008,0.423036067735686,1.13141190972709,0.319857130994913,0.746812586030556,0.871915146801553,0.218044,55,2.08650336733603,0.320827007530215,0.924915995446758
2009,0.637421251710501,1.2138692285472,0.295939902927227,0.695195312316505,0.711076152374995,0.245151,59,2.40967655250631,0.317602275450837,0.911164476847401
2010,0.997131169397476,1.23694151045889,0.342982190913745,0.649036405495202,0.72023104130295,0.19618,65,2.27544649897568,0.341250107133126,0.913807333728017
2011,0.865138909563876,1.01736286003467,0.309973123818136,0.515931276789742,0.577690783885534,0.221883,55,1.78513200751928,0.321461260398847,0.93668279990254
2012,0.779440447214881,1.0689651332412,0.256043006159924,0.502418716853786,0.617133451260546,0.103001,60,1.82764995008767,0.327968631606399,0.935608788253848
2013,0.98375339980708,1.19930278933097,0.394503705550566,0.642323410413397,0.641874587804716,0.217101,62,2.18866673162018,0.349758548693426,0.915958067068528
2014,0.578384545451978,1.22007467005824,0.434059436842511,0.703674535809038,0.709794051479059,0.265136,72,2.17574585769141,0.355959469249964,0.914364387444731
2015,0.772121989074161,1.24383461420873,0.472392660617065,0.75748302071429,0.743263064589175,0.271206,66,2.24239337477219,0.358520786148572,0.913503603847163
2016,1.07499141612831,1.11086208686704,0.654015246718166,0.522724034171223,0.577942004203103,0.186082,63,2.03102929564532,0.34104086866837,0.922950828213681
2017,0.749924696549611,1.2348149429163,0.558753129424948,0.630963587379314,0.670250064706378,0.347518,67,2.41733079736642,0.33496332111872,0.903627388170383
2018,0.573201151682394,1.23901370537122,0.469584239842802,0.698366920628081,0.737123522540155,0.22162,60,2.54660385495527,0.336977792295629,0.89686605009846
