"date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1970,0.27058497889211,0.823566323182722,1.04000809399978e-07,0.309534803635526,0.868381057210497,0.288933739850661,32,2.39809771803246,0.412399935689901,0.766150782813803
1971,0.266800284325141,0.661376687619524,1.6006793494035e-07,0.224820796587787,0.873260741233909,0.37910158776044,34,2.1801362150626,0.390936415491276,0.779087265243209
1972,0.348355979602548,0.649713308648145,1.04000809399978e-07,0.189844113132206,0.872840473762157,0.106708801410622,32,2.13356419418489,0.383957513359942,0.796352919341456
1973,0.4892142694267,0.462723680693688,8.7185810804001e-08,0.151101245195765,0.831836418322787,0.423643490008456,29,1.4454194433797,0.387631994203337,0.859550968124542
1974,0.355992231725888,0.433831558196331,7.93350409307163e-08,0.104345660996173,0.863860160808441,0.26695804911923,31,1.35304509176781,0.371583111639017,0.879757644141029
1975,0.479024763871975,0.395538261145872,1.55841506599576e-07,0.0885030729045574,0.866656048064105,0.00697155489716922,35,1.3524092685304,0.384393826084899,0.855301925396028
1976,0.547100652368546,0.514059289772265,5.73562039069898e-08,0.195161105516547,0.876133216739099,0.539651672177,29,1.55323795205491,0.396046903700986,0.846712185212605
1977,0.531044040082503,0.553280130145839,2.84041948690467e-08,0.171499483997815,0.933869095675612,0.34633686160732,23,1.75022532820215,0.392416140747205,0.852323758225881
1978,0.512086397936009,0.509343149407003,3.10667034607692e-08,0.137467773159699,0.979979507837561,0.0900547335445332,23,1.48351834035792,0.42992978908323,0.889248472210231
1979,0.549209937525086,0.509634253744112,1.65306245528828e-08,0.159654561039446,0.923146611109513,0.294146491335985,20,1.60972042071148,0.410450487060568,0.872280966555688
1980,0.549186924822057,0.67644130775734,9.71549417726238e-09,0.215506543640412,0.852846727037696,0.642710713016206,21,2.10568925771019,0.380714566579849,0.832210251129899
1981,0.596497792104907,0.506734223254516,1.29163610987989e-08,0.127415754755602,0.87836193752822,0.448896452194029,21,1.58365912393855,0.387843260159205,0.87631086460823
1982,0.545135741530644,0.611731673026832,1.77789033499744e-08,0.203420646186918,0.841033418156808,0.51102992506096,25,1.92689584839267,0.383657505013887,0.830320886512824
1983,0.520966753380621,0.666114063483878,1.77789033499744e-08,0.204224764706998,0.848359852188282,0.535057068456671,24,2.16471833384543,0.39066953615381,0.815530631897769
1984,0.521437243642934,0.657218687741718,6.7628302472866e-09,0.188512598556357,0.849811251777993,0.611093396885196,20,2.20775797471399,0.363135075257559,0.828446758404245
