"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FRic","absmax.skill",0.996,0.387578115142033,0.0967772109297271,0.99,0.376947960910646,0.21051605101254,"FI","Mendota","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.43,-1,0,0.572,-11,-22,"FI","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",0.894,0.113286595289692,-0.0111221442214019,0.192,0.0858010358433016,0.157575224959042,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","absmax.skill",0.98,0.338849248002525,0.141199314209994,0.858,0.407764620699015,0.344879755705454,"MVI","Mendota","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.374,-23,0,0.922,-18,-42,"MVI","Mendota","Month","Phytoplankton","",""
"FRic","r0.skill",0.786,0.0579868431513615,-0.0114792265914799,0.952,0.132962530413138,0.00964944151465464,"Z_P.ratio","Mendota","Month","Phytoplankton","",""
"FRic","absmax.skill",1,0.451712272582144,0.0610108820555493,0.92,0.270230939428717,0.181374314800217,"Z_P.ratio","Mendota","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.346,-18,0,0.022,-60,-10.5,"Z_P.ratio","Mendota","Month","Phytoplankton","","*"
"FDis","r0.skill",1,0.354459121388147,0.0012278790993277,0.998,0.243623413224372,0.0121925132746018,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","absmax.skill",0.998,0.412611445510623,0.135642390349252,0.994,0.352502381856824,0.207113035393697,"Community","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.36,-24,0,0.398,-31,-16.5,"Community","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.401831636230492,-0.00247158909299964,1,0.58196947153187,0.0666498698181787,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","absmax.skill",1,0.528131668691889,0.206746545014685,1,0.601456750166565,0.293810013726342,"Density","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.576,-17,-28,0.846,-12,-40,"Density","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.306729681926315,0.0216011101915333,0.462,0.0367744798531577,0.0478276787669848,"FI","Mendota","Month","Zooplankton","*",""
"FDis","absmax.skill",1,0.515559790308557,0.227700566281209,0.994,0.48565663864812,0.300139505372182,"FI","Mendota","Month","Zooplankton","*","*"
"FDis","t.absmax.skill",0.48,-20,-17,0.6,-32,-35,"FI","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",0.93,0.154422615721272,0.0160728958234429,0.028,0.134513266280621,0.315336488498112,"MVI","Mendota","Month","Zooplankton","",""
"FDis","absmax.skill",0.802,0.296386492837144,0.206629866141611,0.508,0.551662984772478,0.550597994802255,"MVI","Mendota","Month","Zooplankton","",""
"FDis","t.absmax.skill",0.498,-21,-20,0.646,-38,-42,"MVI","Mendota","Month","Zooplankton","",""
"FDis","r0.skill",1,0.30301718267629,0.000473183109844496,0.628,0.0364688892842603,0.0062326100167495,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FDis","absmax.skill",1,0.430196623021174,0.19098564389652,0.796,0.281123322340049,0.228081147096799,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FDis","t.absmax.skill",0.418,-23,-8,0.308,-39,-25,"Z_P.ratio","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",1,0.31136591799707,-0.00869220899392047,0.164,-0.0632408219281198,0.0099250851829089,"Community","Mendota","Month","Zooplankton","*",""
"FEve","absmax.skill",0.978,0.332751389123644,0.0517948210600308,0.74,0.238559311554097,0.19660823080332,"Community","Mendota","Month","Zooplankton","*",""
"FEve","t.absmax.skill",0.394,-4,0,0.494,-18,-17,"Community","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",1,0.263341263148912,0.000427853581798465,0.996,0.287382179562311,0.044814252836403,"Density","Mendota","Month","Zooplankton","*","*"
"FEve","absmax.skill",0.998,0.426128214512527,0.185607493109811,0.856,0.310071383550969,0.252117093065631,"Density","Mendota","Month","Zooplankton","*",""
"FEve","t.absmax.skill",0.568,-3,-20.5,0.824,-10,-37,"Density","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",0.998,0.341270396113378,-0.00152098440533144,0.844,0.121248572140296,0.0301806567815869,"FI","Mendota","Month","Zooplankton","*",""
"FEve","absmax.skill",0.958,0.36124292495922,0.113819743648358,0.692,0.283179880527446,0.248023640610822,"FI","Mendota","Month","Zooplankton","",""
"FEve","t.absmax.skill",0.426,-1,0,0.616,-21,-33,"FI","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",0.352,-0.0236389033728563,0.00741032492333434,0.998,0.447161844432787,0.208342331998518,"MVI","Mendota","Month","Zooplankton","","*"
"FEve","absmax.skill",0.982,0.354864137050945,0.157369425224762,0.97,0.539533978844735,0.425390570208474,"MVI","Mendota","Month","Zooplankton","*",""
"FEve","t.absmax.skill",0.256,-42,-2,0.318,-51,-42,"MVI","Mendota","Month","Zooplankton","",""
"FEve","r0.skill",1,0.339544158255697,-0.0043620229379118,0.522,0.0224977821453908,0.0152283136917067,"Z_P.ratio","Mendota","Month","Zooplankton","*",""
"FEve","absmax.skill",1,0.387257800201537,0.0726573075009639,0.976,0.333639405130171,0.20258257648225,"Z_P.ratio","Mendota","Month","Zooplankton","*","*"
"FEve","t.absmax.skill",0.418,-4,0,0.538,-16,-19.5,"Z_P.ratio","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.234716196948215,0.00535998701375612,1,0.308858269460137,0.00652343879355619,"Community","Mendota","Month","Zooplankton","*","*"
"FRic","absmax.skill",1,0.527469693242251,0.0988923539248681,1,0.500617394620415,0.178210460028893,"Community","Mendota","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.04,-58,0,0.232,-43,-9,"Community","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.420198761462448,-0.00483788728185477,0.996,0.265064181267787,0.0346985578153929,"Density","Mendota","Month","Zooplankton","*","*"
"FRic","absmax.skill",1,0.521395194297882,0.180518442596856,1,0.493986954177968,0.246625273517469,"Density","Mendota","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.512,-9,-12,0.746,-15,-34,"Density","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.395347585431803,-0.00546986756919196,0.578,0.0402737597892472,0.0198808131314299,"FI","Mendota","Month","Zooplankton","*",""
"FRic","absmax.skill",0.988,0.395347585431803,0.0893198722594279,1,0.403757147588364,0.227081117601875,"FI","Mendota","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",1,0,0,0.016,-60,-24.5,"FI","Mendota","Month","Zooplankton","*","*"
"FRic","r0.skill",0.816,0.0805331313879947,0.00579206137796081,0.864,0.28279835598892,0.186101632809854,"MVI","Mendota","Month","Zooplankton","",""
"FRic","absmax.skill",0.998,0.420688843430654,0.161914907957796,0.954,0.491722044169529,0.395600593375231,"MVI","Mendota","Month","Zooplankton","*",""
"FRic","t.absmax.skill",0.262,-41,-3,0.81,-29,-41,"MVI","Mendota","Month","Zooplankton","",""
"FRic","r0.skill",1,0.327787323852801,-0.00186805454039239,1,0.302932496882489,0.0124548590610892,"Z_P.ratio","Mendota","Month","Zooplankton","*","*"
"FRic","absmax.skill",1,0.444165239418086,0.075836279399591,1,0.462931585910962,0.196353370030845,"Z_P.ratio","Mendota","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.304,-28,0,0.396,-34,-21,"Z_P.ratio","Mendota","Month","Zooplankton","",""
