"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FRic","absmax.skill",0.994,0.348730108973949,0.188289322637579,0.994,0.374784753732125,0.184351525327835,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.234,-50,-30.5,0.676,-1,-17,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",0.588,0.010842839691914,-0.00499505541799711,0.894,0.0735266740850619,0.000167899481218281,"Community","Kinneret","Month","Zooplankton","",""
"FDis","absmax.skill",0.978,0.23988254949764,0.102137031679005,0.91,0.17883900567845,0.112629728203327,"Community","Kinneret","Month","Zooplankton","*",""
"FDis","t.absmax.skill",0.224,-42,0,0.23,-38,0,"Community","Kinneret","Month","Zooplankton","",""
"FDis","r0.skill",0.58,0.010971908087924,-0.000405700888643736,0.992,0.160653745974561,0.0123052851471293,"Density","Kinneret","Month","Zooplankton","","*"
"FDis","absmax.skill",0.86,0.20315670891819,0.12508902727774,1,0.254871438633491,0.140997361462032,"Density","Kinneret","Month","Zooplankton","","*"
"FDis","t.absmax.skill",0.206,-44,-3,0.202,-47,-21,"Density","Kinneret","Month","Zooplankton","",""
"FDis","r0.skill",0.556,0.00324906593635689,-0.00575763940654419,0.286,-0.0286900021444779,0.00477152127767713,"FI","Kinneret","Month","Zooplankton","",""
"FDis","absmax.skill",0.742,0.163890169315601,0.0953982459415927,0.996,0.254271322622271,0.111400196959427,"FI","Kinneret","Month","Zooplankton","","*"
"FDis","t.absmax.skill",0.204,-39,0,0.252,-36,0,"FI","Kinneret","Month","Zooplankton","",""
"FDis","r0.skill",0.44,-0.0120174945275339,-0.00154490161244171,0.41,0.183877574895354,0.19849602421588,"MVI","Kinneret","Month","Zooplankton","",""
"FDis","absmax.skill",0.578,0.107217546658067,0.0615015595306295,0.974,0.40600254884429,0.330388957218624,"MVI","Kinneret","Month","Zooplankton","",""
"FDis","t.absmax.skill",0.03,-60,0,0.308,-53,-48,"MVI","Kinneret","Month","Zooplankton","",""
"FDis","r0.skill",0.998,0.165285017192121,-0.00536938945776486,1,0.195691289722766,0.00196841211472419,"Z_P.ratio","Kinneret","Month","Zooplankton","*","*"
"FDis","absmax.skill",0.926,0.197774662791795,0.0549539981089456,0.998,0.252561562829018,0.0799603627195993,"Z_P.ratio","Kinneret","Month","Zooplankton","","*"
"FDis","t.absmax.skill",0.174,-42,0,0.442,-2,0,"Z_P.ratio","Kinneret","Month","Zooplankton","",""
"FEve","r0.skill",0.24,-0.0586413982466512,-0.00844134105001402,0.992,0.159959637204465,0.00907899786409444,"Community","Kinneret","Month","Zooplankton","","*"
"FEve","absmax.skill",0.918,0.21297869408453,0.057270565855079,0.992,0.221098872947646,0.114721248159097,"Community","Kinneret","Month","Zooplankton","","*"
"FEve","t.absmax.skill",0.014,-60,0,0.244,-42,-4,"Community","Kinneret","Month","Zooplankton","*",""
"FEve","r0.skill",0.978,0.142057830569901,-0.00364472307531452,1,0.256956056632661,0.0129224174574303,"Density","Kinneret","Month","Zooplankton","*","*"
"FEve","absmax.skill",0.928,0.243928282588447,0.108420964857885,1,0.280342178916192,0.136458417832765,"Density","Kinneret","Month","Zooplankton","","*"
"FEve","t.absmax.skill",0.42,-14,0,0.62,-1,-13.5,"Density","Kinneret","Month","Zooplankton","",""
"FEve","r0.skill",0.546,-0.00327072332807655,-0.0110226318010826,0.998,0.162397874427473,0.00378958837712591,"FI","Kinneret","Month","Zooplankton","","*"
"FEve","absmax.skill",0.744,0.166750350532728,0.0670755244791283,0.986,0.226486513424328,0.117812871673535,"FI","Kinneret","Month","Zooplankton","","*"
"FEve","t.absmax.skill",0.124,-49,0,0.408,-15,-2.5,"FI","Kinneret","Month","Zooplankton","",""
"FEve","r0.skill",0.358,-0.03175864138787,0.00170312579200791,0.952,0.228627547409654,0.138300173262112,"MVI","Kinneret","Month","Zooplankton","",""
"FEve","absmax.skill",0.782,0.15798560432377,0.0904895951917356,1,0.367026381915493,0.26622808324122,"MVI","Kinneret","Month","Zooplankton","","*"
"FEve","t.absmax.skill",0.028,-60,0,0.132,-58,-46,"MVI","Kinneret","Month","Zooplankton","",""
"FEve","r0.skill",0.706,0.0317168325257486,-0.00216954131189054,1,0.201629756517786,0.00720771271776536,"Z_P.ratio","Kinneret","Month","Zooplankton","","*"
"FEve","absmax.skill",0.998,0.304833715088167,0.102197711374226,1,0.286737919550133,0.0817085131096264,"Z_P.ratio","Kinneret","Month","Zooplankton","*","*"
"FEve","t.absmax.skill",0.212,-42,0,0.018,-59,0,"Z_P.ratio","Kinneret","Month","Zooplankton","","*"
"FRic","r0.skill",0.936,0.0823723666024324,-0.00255516582382822,0.942,0.0812265963660884,-0.00610713694535673,"Community","Kinneret","Month","Zooplankton","",""
"FRic","absmax.skill",1,0.295731861753493,0.0755169787052791,1,0.275589759726343,0.0538332557446318,"Community","Kinneret","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.328,-27,0,0.124,-50,0,"Community","Kinneret","Month","Zooplankton","",""
"FRic","r0.skill",1,0.393996898214592,-0.00193700861430774,0.984,0.12330728020243,0.00587154654945836,"Density","Kinneret","Month","Zooplankton","*","*"
"FRic","absmax.skill",1,0.450752154040547,0.115981783283149,0.446,0.12330728020243,0.134866304964908,"Density","Kinneret","Month","Zooplankton","*",""
"FRic","t.absmax.skill",0.526,-1,-4.5,1,0,-16,"Density","Kinneret","Month","Zooplankton","","*"
"FRic","r0.skill",0.99,0.137832333286525,-0.000964003426449406,0.364,-0.023239881135431,-0.0026582747460453,"FI","Kinneret","Month","Zooplankton","*",""
"FRic","absmax.skill",1,0.325155132533774,0.0622384234250581,0.924,0.178781375437707,0.114737730393767,"FI","Kinneret","Month","Zooplankton","*",""
"FRic","t.absmax.skill",0.072,-53,0,0.466,-7,-1,"FI","Kinneret","Month","Zooplankton","",""
"FRic","r0.skill",0.346,-0.0279891013378145,-0.00252342020368736,0.548,0.0966722510715299,0.0909400774778942,"MVI","Kinneret","Month","Zooplankton","",""
"FRic","absmax.skill",1,0.305380595584358,0.0600533353131941,0.992,0.312939140659664,0.224145367681924,"MVI","Kinneret","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.432,-7,0,0.072,-59,-43,"MVI","Kinneret","Month","Zooplankton","",""
"FRic","r0.skill",1,0.196708024267843,0.00197805552485808,0.408,-0.00540105775610291,0.00751953718044374,"Z_P.ratio","Kinneret","Month","Zooplankton","*",""
"FRic","absmax.skill",1,0.374217928165463,0.0725778664795518,1,0.258430599662169,0.127054954765498,"Z_P.ratio","Kinneret","Month","Zooplankton","*","*"
"FRic","t.absmax.skill",0.312,-27,0,0.304,-36,-8,"Z_P.ratio","Kinneret","Month","Zooplankton","",""
