"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FEve","rmax.ccf",0.461,0.118252648254646,0.120007966686286,-0.0017553184316404,"FI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.341,-18,0,-18,"FI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.8839,0.0594309874451548,0.00231735822258255,0.0571136292225723,"FI","Kinneret","Month","Phytoplankton",""
"FEve","absmax.ccf",0.1899,-0.134999917200269,-0.0910102658541105,-0.0439896513461582,"FI","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.3346,-19,0,-19,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.124,-0.118258211866672,-0.097794227617852,-0.0204639842488202,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.6823,10,-7,17,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.1853,0.0855362782594678,0.0981557415215979,-0.0126194632621301,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.6691,9,-7,16,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.6115,0.0114680351212875,0.000123564669931898,0.0113444704513556,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","absmax.ccf",0.1163,-0.118258211866672,0.0783319193342932,-0.196590131200965,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.6945,10,-8,18,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.2819,-0.120216964801169,-0.109643992065937,-0.0105729727352316,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.4904,-5,-3,-2,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.9436,0.14256389027499,0.109111193557229,0.0334526967177605,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.5357,-1,-4.5,3.5,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.8485,0.0467487154669424,0.00151289825165651,0.0452358172152859,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","absmax.ccf",0.9457,0.14256389027499,-0.0900967075127861,0.232660597787776,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.5388,-1,-5,4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",2e-04,-0.196262453622017,-0.106588435188068,-0.0896740184339487,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.8558,38,-3,41,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.923,0.135929225920848,0.106687409386876,0.029241816533972,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.6926,17,-4,21,"Community","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.9972,0.116958556608863,-0.00214310918262532,0.119101665791488,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",2e-04,-0.196262453622017,-0.0800711388746241,-0.116191314747393,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.8565,38,-4,42,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.235,-0.120023598343875,-0.106726257667183,-0.0132973406766921,"Density","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.9127,46,-3,49,"Density","Kinneret","Month","Phytoplankton",""
