"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FEve","t.rmax.ccf",0.0405,-57,-2,-55,"Density","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0,-0.296284705191757,0.0047018609243896,-0.300986566116147,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.313570356771609,0.0806698061575556,-0.394240162929165,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.4871,-1,1,-2,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",1,0.0614592558385014,-0.102071001424003,0.163530257262505,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.3684,-19,1,-20,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.288368388398286,0.102753209598635,0.185615178799651,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.6028,14,0,14,"FI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1,0.244573601751772,0.00154255608256845,0.243031045669203,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",1,0.288368388398286,0.0720695479746498,0.216298840423637,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.6103,14,1,13,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0,-0.287483848144201,-0.0732447861936466,-0.214239061950554,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.6487,23,5,18,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0,-0.0845907450063927,0.0757628443960955,-0.160353589402488,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.1721,-42,-2,-40,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",2e-04,-0.194770514263651,0.00603018710052538,-0.200800701364177,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.287483848144201,0.058693714795955,-0.346177562940156,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.6765,23,4,19,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.9327,-0.0467929426037089,-0.0983666636800094,0.0515737210763004,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.0282,-58,-2,-56,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.242899136009804,0.0962672714790965,0.146631864530708,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.4443,-1,6,-7,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1,0.192649496841551,-0.00535673832457788,0.198006235166129,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",1,0.242899136009804,-0.0826071855224945,0.325506321532299,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.4607,-1,3,-4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.2679,-0.162845632585398,-0.112695264551676,-0.0501503680337216,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.0522,-58,21,-79,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.9784,0.31016829450111,0.156394809518881,0.15377348498223,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.9769,59,-6,65,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","r0.ccf",0.9574,0.230894190863614,0.066826763834576,0.164067427029038,"Community","Kinneret","Month","Phytoplankton",""
"FRic","absmax.ccf",0.9784,0.31016829450111,0.150312564366171,0.159855730134939,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.9723,59,-1,60,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.9969,0.0963438842660647,-0.120232802308719,0.216576686574783,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.1393,-53,15,-68,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",1,0.498329340414423,0.144880530474396,0.353448809940026,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.6473,0,-6,6,"Density","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",1,0.498329340414423,0.0634882374803541,0.434841102934069,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",1,0.498329340414423,0.134674105147962,0.363655235266461,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.5402,0,-1,1,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",2e-04,-0.465454304123149,-0.158411977605347,-0.307042326517802,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.629,18,-5,23,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",1e-04,-0.132815989193826,0.161591841706421,-0.294407830900247,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.1619,-48,-2,-46,"FI","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0,-0.355339969220353,0.0145383346077313,-0.369878303828084,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",2e-04,-0.465454304123149,0.11663777706716,-0.582092081190309,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.6546,18,-3,21,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.9936,0.138144597474765,-0.119270853069347,0.257415450544113,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.0483,-60,20.5,-80.5,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.9997,0.516288733816848,0.165933632294682,0.350355101522165,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.8008,21,-5,26,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.9968,0.410673961724823,0.0932244376482975,0.317449524076525,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.9997,0.516288733816848,0.160563397943894,0.355725335872954,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.688,21,0,21,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",4e-04,-0.399243772481303,-0.142814715381274,-0.256429057100029,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
