"FD.metric","x_y.r0","x_y.lag","x_y.skill","y_x.r0","y_x.lag","y_x.skill","state.metric","system","res","troph"
"FDis",-0.000620268941377809,-54,0.178050871674785,0.155834953867249,-7,0.223231935671679,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0946615182159813,31,0.24856848143512,0.0408165939783985,37,0.291218970905735,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0515423647896528,-45,0.210453221264306,0.048967956850179,37,0.238326574536377,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0546972595527441,-48,0.185876518504875,-0.0707562467849095,-25,0.181614030139343,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.00329576306291521,-51,0.259107665539971,0.0259550731323273,38,0.342753648850894,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.106876978764053,2,0.185358268507429,0.137321852593875,-8,0.244453343997727,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.000259143686381232,59,0.183082453483804,0.0317102777577567,28,0.203750875552664,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0372787594761088,-56,0.182379210480748,-0.0260310889313414,49,0.199871537888044,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0302160459676158,49,0.186016856476094,0.118280494867164,4,0.285375141833708,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0214396103648153,41,0.216040584006971,0.17355565028625,-8,0.214031639056583,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0213311184860741,-14,0.151179157463157,-0.0578127948406829,-60,0.161007503776029,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0782900334679333,-31,0.202170535943307,-0.0973464277056512,-29,0.217824645086624,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0106211164566725,-57,0.226389752472227,0.0329831363865854,-46,0.187767230190943,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0286317426750202,-45,0.224214921011025,0.00766441235540197,-12,0.199506344827454,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0465981723632734,-35,0.282131575700026,-0.051394519643358,49,0.190297100007677,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0759272748637291,-6,0.198723822942831,0.0179502741581891,-4,0.185465805155167,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0309684560374973,60,0.259953615705431,0.0925900630782585,41,0.260276903993882,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0867996874403694,-48,0.186678786567067,0.0936838093857178,59,0.184112365754298,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.097898232961116,-20,0.215127722943796,0.0503580218694995,44,0.21111878115098,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.101076411545484,-15,0.24793708474008,-0.0981728982823919,56,0.265583320455281,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.058174551048657,42,0.230976748998492,0.0483113029880919,-20,0.251384963195179,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0123049727209493,48,0.18409192840704,0.0348484021984039,-15,0.154962249267744,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0717208854920617,-4,0.12167500992719,-0.0417411165809119,53,0.203726506237601,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.00336767897850006,41,0.303550971514308,0.138861840602211,-49,0.237588322552798,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0398821625769321,49,0.123121563322655,-0.083666423928613,60,0.173114675504538,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0126653898123284,-34,0.193040386513428,-0.0469128723836694,8,0.180396955753991,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0247074167155569,35,0.179493983025464,0.0403574804108377,-49,0.0991892128603406,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.12758365896844,-19,0.310633106283316,0.14433522109395,15,0.164681504154583,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0127745817546819,-58,0.164644707127201,0.0732006923431097,4,0.196346079429112,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0353360804283678,48,0.175451649614729,-0.0884412253664437,45,0.183560397299826,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0528075056924279,-58,0.330258564099545,0.0317382000812573,14,0.252487272211923,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0490068555603943,-41,0.234658021828365,0.0895190695794228,-10,0.235290617674007,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0194723484096698,45,0.232843335267581,0.120599856165473,-40,0.250013213694735,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0184744459299974,-30,0.161012342280514,0.0339310764237294,-58,0.253456050301133,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0336416534111837,52,0.152997327496417,0.0389580867687572,-17,0.263266468553799,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0834624750447834,-10,0.190884195036014,-0.258851430212175,-8,0.167918686332677,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0530275725379057,44,0.241262522003277,-0.0090579117306613,49,0.25001505608965,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",-0.0465358056516504,-46,0.265516362056461,0.00363971689452175,16,0.20261353979228,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.104283682140081,59,0.247417839192142,0.0733461538694752,60,0.15054730131812,"Community","Lower Zurich","Month","Phytoplankton"
"FDis",0.0891130616503001,-29,0.199602525693188,0.0314362280874976,6,0.151243274795085,"Community","Lower Zurich","Month","Phytoplankton"
