"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FRic","t.max.skill",1,60,-22,0.892,53,5,"FI","Windermere","Month","Phytoplankton","*",""
"FRic","r0.skill",0.896,0.193973155146994,0.0326386193642199,0.65,0.319736941059929,0.288296171441561,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","max.skill",0.832,0.406018980341274,0.325971603220063,0.898,0.582638355682112,0.521370503417389,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","t.max.skill",0.622,17,-5,0.576,-29,-34,"MVI","Windermere","Month","Phytoplankton","",""
"FRic","r0.skill",0.964,0.249682065646715,0.033991735821907,0.002,-0.22578083380597,0.0346495365401687,"Z_P.ratio","Windermere","Month","Phytoplankton","*",""
"FRic","max.skill",0.516,0.317111621663686,0.314222277464053,0.984,0.42876292948494,0.288042886325992,"Z_P.ratio","Windermere","Month","Phytoplankton","","*"
"FRic","t.max.skill",0.142,-50,-4,0.942,56,-17,"Z_P.ratio","Windermere","Month","Phytoplankton","",""
"FDis","r0.skill",0.15,-0.0805784236428236,0.0101253037299565,0.976,0.166226961529446,-0.00260531732928582,"Community","Windermere","Month","Zooplankton","","*"
"FDis","max.skill",0.888,0.273798653585388,0.216425941088317,0.8,0.25689849224726,0.215682341712542,"Community","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.528,-10,-13,0.548,5,-6,"Community","Windermere","Month","Zooplankton","",""
"FDis","r0.skill",0.41,-0.0214439025498687,0.001739661127181,0.822,0.100419745565543,0.0161078820489039,"Density","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.828,0.372739953599593,0.294262206526734,0.63,0.276086278761053,0.259868641314661,"Density","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.774,36,-7.5,0.36,-37,-21.5,"Density","Windermere","Month","Zooplankton","",""
"FDis","r0.skill",0.644,0.107623081700073,0.0603756601524063,0.44,0.0682355661702927,0.0869542688249442,"FI","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.272,0.295480020020704,0.340594220127664,0.438,0.319008331727054,0.328065664428687,"FI","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.988,59,-17,0.836,48,7.5,"FI","Windermere","Month","Zooplankton","*",""
"FDis","r0.skill",0.244,-0.0735467095510814,0.0103520090084829,0.746,0.316941818438565,0.254885493729421,"MVI","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.12,0.218242306981481,0.290256427226521,0.498,0.486190500690972,0.486939263754113,"MVI","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.912,53,-8.5,0.618,-23,-35,"MVI","Windermere","Month","Zooplankton","",""
"FDis","r0.skill",0.724,0.0553622260048066,-0.000536516257489266,0.906,0.138169889894579,0.0242027477959626,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FDis","max.skill",0.552,0.286853834995159,0.276553659509868,0.648,0.278126825177727,0.259503733585981,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FDis","t.max.skill",0.808,37,-12,0.142,-53,-22,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FEve","r0.skill",0.452,-0.00714015359596724,0.00463405193051094,0.964,0.141032135629353,-0.000754646593545903,"Community","Windermere","Month","Zooplankton","","*"
"FEve","max.skill",0.134,0.169383179134594,0.205598970636922,0.736,0.229803859180257,0.202181897162908,"Community","Windermere","Month","Zooplankton","",""
"FEve","t.max.skill",0.484,-16,-13.5,0.542,-1,-8,"Community","Windermere","Month","Zooplankton","",""
"FEve","r0.skill",0.082,-0.137249643607502,-0.000553929080297502,0.412,-0.000227839794879947,0.0195013885422887,"Density","Windermere","Month","Zooplankton","",""
"FEve","max.skill",0.754,0.318350885500724,0.263519016991897,0.746,0.269363642172364,0.241634200842783,"Density","Windermere","Month","Zooplankton","",""
"FEve","t.max.skill",0.834,37,-14,0.842,39,-22,"Density","Windermere","Month","Zooplankton","",""
"FEve","r0.skill",0.966,0.236695831448228,0.0236072194884123,0.674,0.114220643825387,0.0702695944082242,"FI","Windermere","Month","Zooplankton","*",""
"FEve","max.skill",0.24,0.256175006034236,0.30648338615624,0.014,0.196741743352422,0.296432244049494,"FI","Windermere","Month","Zooplankton","",""
"FEve","t.max.skill",0.144,-53,-15,0.442,-2,9.5,"FI","Windermere","Month","Zooplankton","",""
"FEve","r0.skill",0.788,0.0732036489251186,0.00521930632492356,0.368,0.197573422184321,0.227008057022243,"MVI","Windermere","Month","Zooplankton","",""
"FEve","max.skill",0.286,0.212839319751054,0.243083375344102,0.448,0.439019858281081,0.446203087623692,"MVI","Windermere","Month","Zooplankton","",""
"FEve","t.max.skill",0.03,-59,-18,0.922,56,-29,"MVI","Windermere","Month","Zooplankton","",""
"FEve","r0.skill",0.31,-0.0500462381028817,-0.00805926399981057,0.608,0.0320923938318896,0.00316827466440462,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FEve","max.skill",0.704,0.283823898725737,0.246259619110154,0.216,0.20661700321874,0.236119142240497,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FEve","t.max.skill",0.81,37,-7,0.932,54,-24,"Z_P.ratio","Windermere","Month","Zooplankton","",""
"FRic","r0.skill",0.86,0.0740422904847067,-0.00693688420725184,0.966,0.120513998653544,-0.0169126364313304,"Community","Windermere","Month","Zooplankton","","*"
"FRic","max.skill",1,0.428776545623672,0.199103733099582,0.646,0.191987153364899,0.175478529404597,"Community","Windermere","Month","Zooplankton","*",""
"FRic","t.max.skill",0.554,-4,-14.5,0.466,-19,-15,"Community","Windermere","Month","Zooplankton","",""
"FRic","r0.skill",0.962,0.181020252726917,-0.0139712214574596,0.742,0.0434985227537287,-3.15899903869882e-05,"Density","Windermere","Month","Zooplankton","*",""
"FRic","max.skill",0.996,0.504226726061887,0.249164010302095,0.858,0.24469363891834,0.199236486028025,"Density","Windermere","Month","Zooplankton","*",""
"FRic","t.max.skill",0.396,-23,-6.5,0.37,-30,-7,"Density","Windermere","Month","Zooplankton","",""
"FRic","r0.skill",0.864,0.101455466244719,-0.00750773126517852,0.434,-0.00397468545364858,0.0074102259058712,"FI","Windermere","Month","Zooplankton","",""
"FRic","max.skill",0.89,0.346445467436018,0.250092054038797,0.182,0.171442036842913,0.205956868743666,"FI","Windermere","Month","Zooplankton","",""
"FRic","t.max.skill",0.156,-50,-15,0.736,34,-2,"FI","Windermere","Month","Zooplankton","",""
"FRic","r0.skill",0.284,-0.0704953043656398,-0.00576668900274464,0.91,0.164669458054606,0.0600981967332923,"MVI","Windermere","Month","Zooplankton","",""
"FRic","max.skill",0.136,0.187095687459838,0.264011565796983,0.674,0.263691091834328,0.242035581368958,"MVI","Windermere","Month","Zooplankton","",""
"FRic","t.max.skill",0.844,42,-1,0.124,-54,-28,"MVI","Windermere","Month","Zooplankton","",""
"FRic","r0.skill",0.988,0.203738730797965,-0.013493175593672,0.444,-0.0106171558413033,-0.00348344907593431,"Z_P.ratio","Windermere","Month","Zooplankton","*",""
"FRic","max.skill",0.994,0.458345419960225,0.23458111708695,0.618,0.208603084560507,0.196055809471985,"Z_P.ratio","Windermere","Month","Zooplankton","*",""
"FRic","t.max.skill",0.402,-22,-4,0.806,35,-16,"Z_P.ratio","Windermere","Month","Zooplankton","",""
