"FD.metric","x_y.r0","x_y.lag","x_y.skill","y_x.r0","y_x.lag","y_x.skill","state.metric","system","res","troph"
"FDis",0.192966798917251,0,0.192966798917251,0.074211101630936,-2,0.243956047084468,"Community","Windermere","Month","Phytoplankton"
"FDis",0.123739313485434,40,0.147554584295235,-0.0119814029746713,-43,0.212860002409691,"Community","Windermere","Month","Phytoplankton"
"FDis",0.104936098299251,47,0.182770217539917,-0.13651130139936,-51,0.176615574890467,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.113340844009938,23,0.256423887013589,-0.0916325676391638,26,0.179193061687997,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.122319848935369,-46,0.188946054981001,-0.161347180086397,-24,0.180068565126351,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.160021191572847,59,0.240920177186843,0.146587587773142,-58,0.168674159306779,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0670679608475533,-17,0.227962024640752,0.109077665275094,-48,0.161073692303461,"Community","Windermere","Month","Phytoplankton"
"FDis",0.107076634103884,58,0.183771692548505,0.0853272246686289,-23,0.157002875074236,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0134521062676336,-27,0.132800669119928,0.0376599479083323,-20,0.218316148010964,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.145664322739906,46,0.213624973701656,-0.0415123594450272,-47,0.253094297174273,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0317232884376728,-42,0.148271992794454,-0.0525936518472963,53,0.182841550984833,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0385269859078825,-46,0.151782945642896,-0.0172303137436087,-60,0.178125354169,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0334607603220144,-41,0.258063587919957,0.0562596163695724,42,0.198838509825016,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.110524554250936,-40,0.185747770109275,-0.0459648064049553,5,0.198061243696404,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0698806389473512,15,0.162026163017393,-0.0418169290059514,9,0.182035835775255,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.106636828520363,-51,0.192067646626161,-0.0565001082333898,-14,0.169902117900502,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0538525423825526,-16,0.163430352408174,0.0652594704958044,-57,0.175134850267601,"Community","Windermere","Month","Phytoplankton"
"FDis",0.116913396445615,34,0.178015551453283,0.00284973237541399,32,0.196632334352277,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0260908477481025,-6,0.131821079144106,0.0350038291215151,-58,0.210147337274748,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.071688803786094,-43,0.222710091659732,0.0397856681391598,31,0.181779338656786,"Community","Windermere","Month","Phytoplankton"
"FDis",0.00688034212481209,58,0.215591682047617,0.135212216195586,0,0.135212216195586,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0175692936595936,-46,0.26870153895344,0.121918400960215,47,0.195028992885934,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0657386804396184,-53,0.229627078253492,0.148113643348558,1,0.200251774141192,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0330851835354856,44,0.24613378475424,-0.191010313220637,-59,0.218388470522479,"Community","Windermere","Month","Phytoplankton"
"FDis",0.124956673802102,-24,0.17457082704496,-0.127728574991387,-42,0.216325604897785,"Community","Windermere","Month","Phytoplankton"
"FDis",0.01499155365607,-25,0.276844790340872,0.0777457493178347,-51,0.197331389638244,"Community","Windermere","Month","Phytoplankton"
"FDis",0.067438217290299,26,0.222625053239304,0.0384866344195343,-45,0.225842566662153,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0508330726142191,40,0.180174371870057,0.0180353281361398,-50,0.280632835927902,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0629024009996005,53,0.177561993334089,0.0784130529098912,-57,0.171981646381921,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0975946189106237,-26,0.206584776025574,-0.00948500883661975,21,0.260378711999541,"Community","Windermere","Month","Phytoplankton"
"FDis",-0.0397022167733033,-24,0.230335827458848,0.104706767354179,30,0.108172197287869,"Community","Windermere","Month","Phytoplankton"
"FDis",0.0317258598111369,20,0.137513173111305,0.0228305474530075,-54,0.159261820537675,"Community","Windermere","Month","Phytoplankton"
