"FD.metric","measure","x_y.quantile","x_y.obs_value","x_y.median_perm_value","y_x.quantile","y_x.obs_value","y_x.median_perm_value","state.metric","system","res","troph","x_y.sig","y_x.sig"
"FRic","max.skill",1,0.897323772453222,0.564735750616474,0.986,0.796661066652372,0.568925605012435,"FI","Kasumigaura","Month","Phytoplankton","*","*"
"FRic","t.max.skill",0.672,-26,-40.5,0.876,-8,-43,"FI","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.584320144910212,0.177323789373621,0.2,0.274314299221045,0.383585635020998,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FRic","max.skill",1,0.809229070105826,0.406743281341481,0.672,0.656803014197485,0.629398909178721,"MVI","Kasumigaura","Month","Phytoplankton","*",""
"FRic","t.max.skill",0.36,-48,-40,0.382,-60,-56.5,"MVI","Kasumigaura","Month","Phytoplankton","",""
"FRic","r0.skill",0.998,0.591067114014428,0.16982598504799,0.968,0.632443100194782,0.226462660849938,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FRic","max.skill",0.992,0.591067114014428,0.408692600665648,0.952,0.645606995489984,0.3840710464271,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FRic","t.max.skill",1,0,-38,0.684,-14,-35,"Z_P.ratio","Kasumigaura","Month","Phytoplankton","*",""
"FDis","r0.skill",0.742,0.0820967997574753,0.0274586873610432,0.08,-0.0490354063981696,0.0511771833188315,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","max.skill",0.886,0.282918717825027,0.20126732242949,0.896,0.291751970181752,0.224853171893928,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","t.max.skill",0.036,-60,-34.5,0.746,-20,-34,"Community","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.878,0.129449320668797,0.0179354228075472,0.082,0.0385941557370766,0.176501831684247,"Density","Kasumigaura","Month","Zooplankton","",""
"FDis","max.skill",0.894,0.257306934048498,0.128523060723645,0.998,0.570350315948259,0.38484306583841,"Density","Kasumigaura","Month","Zooplankton","","*"
"FDis","t.max.skill",0.282,-52,-32,0.316,-51,-42,"Density","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.922,0.179745292395978,0.0371945944656378,0.806,0.131036129090184,0.0461194069502749,"FI","Kasumigaura","Month","Zooplankton","",""
"FDis","max.skill",0.992,0.407503092852276,0.182500885460444,0.998,0.495000976900997,0.276509393918963,"FI","Kasumigaura","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.41,-41,-33,0.2,-56,-43,"FI","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",0.686,0.0722675226302148,0.0282421421444535,0.648,0.316919590298828,0.286678246312179,"MVI","Kasumigaura","Month","Zooplankton","",""
"FDis","max.skill",0.984,0.401576707656297,0.221820935589573,0.914,0.558667613773099,0.489695970514571,"MVI","Kasumigaura","Month","Zooplankton","*",""
"FDis","t.max.skill",0.506,-34,-34,0.386,-53,-49,"MVI","Kasumigaura","Month","Zooplankton","",""
"FDis","r0.skill",1,0.290974074885845,0.0118001726881448,1,0.256510516328994,0.0442631983430893,"Z_P.ratio","Kasumigaura","Month","Zooplankton","*","*"
"FDis","max.skill",0.998,0.342677552735683,0.182720871060667,0.988,0.350250860646174,0.204420352854038,"Z_P.ratio","Kasumigaura","Month","Zooplankton","*","*"
"FDis","t.max.skill",0.96,-2,-35,0.166,-56,-39,"Z_P.ratio","Kasumigaura","Month","Zooplankton","",""
"FEve","r0.skill",0.17,-0.0474755291035694,0.0382330113189098,0.032,-0.0961478122110426,0.0517608458548302,"Community","Kasumigaura","Month","Zooplankton","",""
"FEve","max.skill",0.658,0.235691985748243,0.210960837937307,0.992,0.401321911711986,0.238417726228735,"Community","Kasumigaura","Month","Zooplankton","","*"
"FEve","t.max.skill",0.548,-35,-37,0.304,-47,-36,"Community","Kasumigaura","Month","Zooplankton","",""
"FEve","r0.skill",0.084,-0.102797202834405,0.0196945727870368,0.368,0.153341329391649,0.193181710409028,"Density","Kasumigaura","Month","Zooplankton","",""
"FEve","max.skill",0.068,-0.102797202834405,0.135585330497939,0.986,0.582268529584828,0.416151592285625,"Density","Kasumigaura","Month","Zooplankton","","*"
"FEve","t.max.skill",1,0,-37,0.238,-54,-44,"Density","Kasumigaura","Month","Zooplankton","*",""
"FEve","r0.skill",0.958,0.252034506170169,0.0424067433962469,0.862,0.185793255146626,0.0750720382257048,"FI","Kasumigaura","Month","Zooplankton","",""
"FEve","max.skill",0.862,0.318973473481712,0.205805663416723,0.982,0.458497228044323,0.304237254294783,"FI","Kasumigaura","Month","Zooplankton","","*"
"FEve","t.max.skill",0.738,-14,-33,0.482,-45,-44,"FI","Kasumigaura","Month","Zooplankton","",""
"FEve","r0.skill",0.776,0.128203458176313,0.0525789335652588,0.824,0.385211217506573,0.322937982428518,"MVI","Kasumigaura","Month","Zooplankton","",""
"FEve","max.skill",0.904,0.342339055819074,0.231883243114181,0.402,0.518421842254446,0.529938162345411,"MVI","Kasumigaura","Month","Zooplankton","",""
"FEve","t.max.skill",0.546,-33,-35,0.838,-34,-48,"MVI","Kasumigaura","Month","Zooplankton","",""
"FEve","r0.skill",0.99,0.188827161341458,0.0148636180510158,0.85,0.130397078577611,0.0383032418196108,"Z_P.ratio","Kasumigaura","Month","Zooplankton","*",""
"FEve","max.skill",0.636,0.215303362954914,0.195672316699938,1,0.43221261005408,0.211599915887348,"Z_P.ratio","Kasumigaura","Month","Zooplankton","","*"
"FEve","t.max.skill",0.548,-37,-40,0.09,-58,-41,"Z_P.ratio","Kasumigaura","Month","Zooplankton","",""
"FRic","r0.skill",0.804,0.298072898428875,0.183465172387377,0.684,0.202067290568127,0.122451296855657,"Community","Kasumigaura","Month","Zooplankton","",""
"FRic","max.skill",0.982,0.591807914122557,0.377753095303855,0.8,0.45478355373281,0.316980346615288,"Community","Kasumigaura","Month","Zooplankton","*",""
"FRic","t.max.skill",0.078,-60,-42,0.75,-16,-34,"Community","Kasumigaura","Month","Zooplankton","",""
"FRic","r0.skill",1,0.862146431797106,0.211967348131854,0.854,0.749989884238604,0.594124206151877,"Density","Kasumigaura","Month","Zooplankton","*",""
"FRic","max.skill",0.998,0.934548734458249,0.455556025160705,0.89,0.875490038940051,0.788089281965629,"Density","Kasumigaura","Month","Zooplankton","*",""
"FRic","t.max.skill",0.152,-60,-53,0.756,-35,-47,"Density","Kasumigaura","Month","Zooplankton","",""
"FRic","r0.skill",0.988,0.742974330054994,0.268602527902733,0.766,0.394923328084605,0.244501138740801,"FI","Kasumigaura","Month","Zooplankton","*",""
"FRic","max.skill",0.992,0.830298142824382,0.463080675800277,0.5,0.505424536819187,0.505237182609158,"FI","Kasumigaura","Month","Zooplankton","*",""
"FRic","t.max.skill",0.68,-22,-38,0.538,-41,-45,"FI","Kasumigaura","Month","Zooplankton","",""
"FRic","r0.skill",0.706,0.22329008163502,0.164217619396659,0.362,0.35457570037779,0.394830608627406,"MVI","Kasumigaura","Month","Zooplankton","",""
"FRic","max.skill",0.268,0.346421257110267,0.401991545452155,0.896,0.707244541441196,0.626192093914999,"MVI","Kasumigaura","Month","Zooplankton","",""
"FRic","t.max.skill",0.222,-55,-40,0.712,-44,-53,"MVI","Kasumigaura","Month","Zooplankton","",""
"FRic","r0.skill",0.376,0.0848289985283581,0.124463441972735,0.924,0.401146817344777,0.145544534638952,"Z_P.ratio","Kasumigaura","Month","Zooplankton","",""
"FRic","max.skill",0.958,0.47343990665635,0.353538550260911,0.78,0.446498447817497,0.327105545926625,"Z_P.ratio","Kasumigaura","Month","Zooplankton","",""
"FRic","t.max.skill",0.62,-33,-41.5,0.81,-8,-37,"Z_P.ratio","Kasumigaura","Month","Zooplankton","",""
