"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FEve","rmax.ccf",0,-0.0471794701385956,0.0981579112619268,-0.145337381400522,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.049049049049049,-57,-1,-56,"Density","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0,-0.359766269275277,-0.00417057080960029,-0.355595698465677,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.359766269275277,-0.0911088449691025,-0.268657424306174,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.501501501501502,0,0,0,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",1,0.124459484787458,-0.10624628107375,0.230705765861208,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.894894894894895,51,1,50,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.325417936723068,0.107186446047029,0.218231490676038,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.504504504504504,2,1,1,"FI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1,0.303014803215899,0.000712459821184971,0.302302343394714,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",1,0.325417936723068,0.0889470958212379,0.23647084090183,"FI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.502502502502503,2,2,0,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0,-0.400631978837433,-0.081185107338922,-0.319446871498511,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.58958958958959,14,1,13,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0,-0.146391484923479,0.0758411453824228,-0.222232630305901,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.0760760760760761,-53,3,-56,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0,-0.297056881283892,-0.00292978595885561,-0.294127095325037,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0,-0.400631978837433,-0.0701139695016618,-0.330518009335772,"MVI","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.58958958958959,14,4,10,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.896896896896897,-0.0517813461491855,-0.0975634437311667,0.0457820975819812,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.042042042042042,-58,1,-59,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",1,0.252976719899578,0.099669108999888,0.15330761089969,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmax.ccf",0.471471471471471,-1,3,-4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1,0.22669514857049,0.00431284007483845,0.222382308495652,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",1,0.252976719899578,0.0674392125162203,0.185537507383357,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.49049049049049,-1,0,-1,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.108108108108108,-0.228060908431921,-0.131986810241216,-0.0960740981907047,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.0560560560560561,-58,2,-60,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.965965965965966,0.272708709944383,0.130685075436421,0.142023634507962,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.914914914914915,55,1,54,"Community","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.812812812812813,0.0910881946302741,-0.00153759260051749,0.0926257872307916,"Community","Kinneret","Month","Phytoplankton",""
"FRic","absmax.ccf",0.965965965965966,0.272708709944383,-0.0981393245076738,0.370848034452057,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.absmax.ccf",0.925925925925926,55,2,53,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.986986986986987,0.024610669504342,-0.13605544897433,0.160666118478672,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.108108108108108,-53,2,-55,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",1,0.449563908383388,0.122989214036896,0.326574694346492,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.504504504504504,0,0,0,"Density","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",1,0.449563908383388,0.000455519644479351,0.449108388738908,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",1,0.449563908383388,-0.10629172837259,0.555855636755978,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.501501501501502,0,0,0,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.001001001001001,-0.448476881914006,-0.153202994797705,-0.295273887116301,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.542542542542543,7,-2,9,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.001001001001001,-0.0809584764752983,0.162179455108241,-0.24313793158354,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.0730730730730731,-59,1,-60,"FI","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.001001001001001,-0.322421916433402,-0.000896267298308232,-0.321525649135094,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.001001001001001,-0.448476881914006,0.130010637316418,-0.578487519230424,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.537537537537538,7,1,6,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.996996996996997,0.139577992087214,-0.139249614915077,0.27882760700229,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",0.0550550550550551,-60,5,-65,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",1,0.454388070586639,0.127287503860874,0.327100566725765,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",1,60,3,57,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","r0.ccf",0.998998998998999,0.395244121779425,-0.00456178035651147,0.399805902135937,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",1,0.454388070586639,-0.126079190815033,0.580467261401672,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",1,60,6,54,"MVI","Kinneret","Month","Phytoplankton","*"
"FRic","rmin.ccf",0,-0.366996835929863,-0.115575297821735,-0.251421538108128,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmin.ccf",1,60,4,56,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FRic","rmax.ccf",0.298298298298298,0.0770248560358766,0.120062069064455,-0.0430372130285784,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.0920920920920921,-53,5,-58,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0,-0.34652829961262,0.000221824260696181,-0.346750123873316,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0,-0.366996835929863,0.100614829794269,-0.467611665724132,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",1,60,4,56,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","rmin.ccf",0.00800800800800801,-0.215355400838058,-0.106996136430236,-0.108359264407821,"Community","Kinneret","Month","Zooplankton","*"
"FDis","t.rmin.ccf",0.27027027027027,-32,1,-33,"Community","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.983983983983984,0.193294157336377,0.10421216399639,0.0890819933399872,"Community","Kinneret","Month","Zooplankton","*"
"FDis","t.rmax.ccf",0.469469469469469,-4,0,-4,"Community","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.987987987987988,0.135705225362658,-0.00127399334418926,0.136979218706847,"Community","Kinneret","Month","Zooplankton","*"
"FDis","absmax.ccf",0.00800800800800801,-0.215355400838058,-0.0869097621315941,-0.128445638706464,"Community","Kinneret","Month","Zooplankton","*"
"FDis","t.absmax.ccf",0.242242242242242,-32,1,-33,"Community","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.001001001001001,-0.257661150967938,-0.105114282700154,-0.152546868267784,"Density","Kinneret","Month","Zooplankton","*"
"FDis","t.rmin.ccf",0.215215215215215,-38,1,-39,"Density","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.978978978978979,0.186544554579026,0.100259899068403,0.0862846555106224,"Density","Kinneret","Month","Zooplankton","*"
"FDis","t.rmax.ccf",0.625625625625626,15,-1,16,"Density","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.700700700700701,0.0297846939699816,-0.00351103134264609,0.0332957253126277,"Density","Kinneret","Month","Zooplankton",""
"FDis","absmax.ccf",0.001001001001001,-0.257661150967938,-0.0934674009881986,-0.16419374997974,"Density","Kinneret","Month","Zooplankton","*"
"FDis","t.absmax.ccf",0.195195195195195,-38,-1,-37,"Density","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.387387387387387,-0.117750625645413,-0.108898198689664,-0.00885242695574845,"FI","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.831831831831832,44,0,44,"FI","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",1,0.278245014230086,0.109669358310077,0.168575655920008,"FI","Kinneret","Month","Zooplankton","*"
"FDis","t.rmax.ccf",0.26026026026026,-34,1,-35,"FI","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.85985985985986,0.0600148738206482,0.000801770359134314,0.0592131034615139,"FI","Kinneret","Month","Zooplankton",""
"FDis","absmax.ccf",1,0.278245014230086,0.0904097756006354,0.18783523862945,"FI","Kinneret","Month","Zooplankton","*"
"FDis","t.absmax.ccf",0.228228228228228,-34,2,-36,"FI","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.184184184184184,-0.12875684317124,-0.083859128234133,-0.0448977149371071,"MVI","Kinneret","Month","Zooplankton",""
