"FD.metric","measure","quantile","obs.value","median.perm.value","obs.difference","state.metric","system","res","troph","sig"
"FDis","rmin.ccf",0.0764,-0.202333845246617,-0.152074766265716,-0.0502590789809015,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.517,0,-1,1,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.1506,0.12528489288718,0.15308344221921,-0.0277985493320296,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.7497,25,-3,28,"Community","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.0011,-0.202333845246617,0.00288003032446963,-0.205213875571087,"Community","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0.0694,-0.202333845246617,0.12200764415827,-0.324341489404887,"Community","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.5232,0,-2,2,"Community","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.750501301300027,-0.146710264342537,-0.60379103695749,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.5258,0,-3,3,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.302807655578102,0.148443074124307,0.154364581453796,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.4556,-12,-6,-6,"Density","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0,-0.750501301300027,0.00196271250813954,-0.752464013808167,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0,-0.750501301300027,0.119852164083768,-0.870353465383795,"Density","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5484,0,-6,6,"Density","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.9349,-0.118183390646228,-0.162907091680936,0.0447237010347077,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.7072,25,2,23,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.5378,0.166803034934106,0.163623767563365,0.0031792673707412,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.5592,6,0,6,"FI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.9795,0.148960254595914,-0.00181776906048543,0.1507780236564,"FI","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",0.6791,0.166803034934106,0.113200805308466,0.0536022296256404,"FI","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.5456,6,2,4,"FI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.3389,-0.187969579510109,-0.169881172906961,-0.0180884066031489,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmin.ccf",0.5974,2,-8,10,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",0.1285,0.130006991774561,0.172947916699621,-0.0429409249250594,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","t.rmax.ccf",0.9248,46,-10,56,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",0.1405,-0.0926371429912267,0.00222211342542295,-0.0948592564166496,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","absmax.ccf",0.2461,-0.187969579510109,0.130504777282065,-0.318474356792174,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","t.absmax.ccf",0.6163,2,-9,11,"MVI","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0,-0.296330615641666,-0.143872171446866,-0.1524584441948,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmin.ccf",0.4472,-12,-5.5,-6.5,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","rmax.ccf",1,0.638702987216766,0.142270160524815,0.496432826691951,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.rmax.ccf",0.5219,0,-2,2,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","r0.ccf",1,0.638702987216766,-0.00349525299276873,0.642198240209535,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","absmax.ccf",1,0.638702987216766,-0.119180773032663,0.757883760249428,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FDis","t.absmax.ccf",0.5441,0,-5,5,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.0133,-0.208136150070296,-0.138028381539143,-0.0701077685311538,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.5301,0,-3,3,"Community","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.7695,0.158493660574341,0.138435747250948,0.0200579133233934,"Community","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.75,25,-3,28,"Community","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",3e-04,-0.208136150070296,0.0014131022192148,-0.209549252289511,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0.0128,-0.208136150070296,0.104292790724173,-0.312428940794469,"Community","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.5328,0,-3,3,"Community","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.0084,-0.211752773709408,-0.137418154289299,-0.0743346194201094,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.5418,0,-4,4,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.6307,0.146288799989344,0.137970952847331,0.00831784714201289,"Density","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.7823,26,-6,32,"Density","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",1e-04,-0.211752773709408,0.000624949739029821,-0.212377723448438,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0.0082,-0.211752773709408,0.10873034133244,-0.320483115041849,"Density","Kinneret","Month","Phytoplankton","*"
"FEve","t.absmax.ccf",0.5627,0,-7,7,"Density","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.4999,-0.143665893890446,-0.143661029033488,-4.86485695744276e-06,"FI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.4611,-3,2,-5,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.7597,0.164489436244818,0.143883205668514,0.0206062305763045,"FI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.2255,-31,1,-32,"FI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.6943,0.0314607671202834,-0.000839717212832555,0.0323004843331159,"FI","Kinneret","Month","Phytoplankton",""
"FEve","absmax.ccf",0.8143,0.164489436244818,0.0955661062112186,0.0689233300335997,"FI","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.2277,-31,2,-33,"FI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.051,-0.200246275372412,-0.136587076017143,-0.0636591993552697,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmin.ccf",0.784,24,-9,33,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmax.ccf",0.5656,0.14353555183517,0.137534446281304,0.00600110555386593,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.9544,52,-10,62,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.8072,0.0600886218486854,0.000836537083485227,0.0592520847652002,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","absmax.ccf",0.046,-0.200246275372412,0.0989022052629781,-0.299148480635391,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.7919,24,-10,34,"MVI","Kinneret","Month","Phytoplankton",""
"FEve","rmin.ccf",0.9862,-0.0948731006394817,-0.136328273817422,0.04145517317794,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","t.rmin.ccf",0.0111,-60,-6,-54,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","rmax.ccf",0.8333,0.161652474097729,0.135658508553181,0.0259939655445473,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.rmax.ccf",0.5326,-1,-4,3,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","r0.ccf",0.9956,0.142852187970801,-0.000256738145261923,0.143108926116063,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FEve","absmax.ccf",0.8559,0.161652474097729,-0.102169738539635,0.263822212637364,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FEve","t.absmax.ccf",0.5499,-1,-6,5,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.5552,-0.155853396995191,-0.160355794604378,0.0045023976091868,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.3256,-23,-1,-22,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.8773,0.209653367965938,0.163549334857246,0.0461040331086914,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.5321,0,-2,2,"Community","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.9961,0.209653367965938,0.0106516619782926,0.199001705987645,"Community","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.8891,0.209653367965938,0.130845029710578,0.0788083382553595,"Community","Kinneret","Month","Phytoplankton",""
"FRic","t.absmax.ccf",0.5242,0,-2,2,"Community","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.2384,-0.174179101290864,-0.149806012684517,-0.024373088606347,"Density","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.3422,-20,1,-21,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.989,0.242149721851158,0.154881011350721,0.0872687105004365,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.rmax.ccf",0.5709,0,-8,8,"Density","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.9998,0.242149721851158,0.0029153894185446,0.239234332432613,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.989,0.242149721851158,0.13125762474072,0.110892097110438,"Density","Kinneret","Month","Phytoplankton","*"
"FRic","t.absmax.ccf",0.5443,0,-5,5,"Density","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.4084,-0.188382237782727,-0.178509652334627,-0.00987258544809938,"FI","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.4866,0,2,-2,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.7564,0.211845354002698,0.181512181994637,0.030333172008061,"FI","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.3516,-17,-2,-15,"FI","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.012,-0.188382237782727,0.00191385249881433,-0.190296090281541,"FI","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.8084,0.211845354002698,0.13502816394181,0.0768171900608883,"FI","Kinneret","Month","Phytoplankton",""
"FRic","t.absmax.ccf",0.364,-17,0,-17,"FI","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.3033,-0.231527012188639,-0.202707706760559,-0.0288193054280807,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.9045,46,-7,53,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.3731,0.193072660750529,0.210553217535676,-0.0174805567851467,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.7462,18,-9,27,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.6938,0.0619351178576492,0.00698030900100005,0.0549548088566491,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","absmax.ccf",0.2164,-0.231527012188639,0.170108282919479,-0.401635295108118,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","t.absmax.ccf",0.9026,46,-9,55,"MVI","Kinneret","Month","Phytoplankton",""
"FRic","rmin.ccf",0.1359,-0.182362214272967,-0.146900521557868,-0.0354616927150991,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","t.rmin.ccf",0.5714,0,-6,6,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","rmax.ccf",0.7921,0.167644537271754,0.141612866601531,0.0260316706702236,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","t.rmax.ccf",0.3433,-20,1,-21,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","r0.ccf",0.0035,-0.182362214272967,-0.0100944632124013,-0.172267751060566,"Z_P.ratio","Kinneret","Month","Phytoplankton","*"
"FRic","absmax.ccf",0.1222,-0.182362214272967,-0.127535124264199,-0.0548270900087681,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FRic","t.absmax.ccf",0.5374,0,-4,4,"Z_P.ratio","Kinneret","Month","Phytoplankton",""
"FDis","rmin.ccf",0.3175,-0.152156038171168,-0.139519467521448,-0.0126365706497203,"Community","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.239,-33,-2,-31,"Community","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.9342,0.186084851519594,0.140425843083526,0.0456590084360688,"Community","Kinneret","Month","Zooplankton",""
"FDis","t.rmax.ccf",0.5403,0,-3,3,"Community","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.9992,0.186084851519594,0.00188867675977114,0.184196174759823,"Community","Kinneret","Month","Zooplankton","*"
"FDis","absmax.ccf",0.9387,0.186084851519594,0.111710693446657,0.0743741580729377,"Community","Kinneret","Month","Zooplankton",""
"FDis","t.absmax.ccf",0.5333,0,-3,3,"Community","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.2639,-0.154747185838365,-0.138355772999332,-0.0163914128390326,"Density","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.2008,-38,-4,-34,"Density","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.5799,0.144645947638771,0.139674329182235,0.00497161845653638,"Density","Kinneret","Month","Zooplankton",""
"FDis","t.rmax.ccf",0.023,-58,-7,-51,"Density","Kinneret","Month","Zooplankton","*"
"FDis","r0.ccf",0.8455,0.0608727228748564,0.00140367745203176,0.0594690454228247,"Density","Kinneret","Month","Zooplankton",""
"FDis","absmax.ccf",0.2124,-0.154747185838365,0.115535113732664,-0.270282299571029,"Density","Kinneret","Month","Zooplankton",""
"FDis","t.absmax.ccf",0.2097,-38,-7,-31,"Density","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.4189,-0.152044729959537,-0.145737534082606,-0.0063071958769311,"FI","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.4898,0,2,-2,"FI","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.8853,0.183952842419948,0.146376079083357,0.0375767633365902,"FI","Kinneret","Month","Zooplankton",""
"FDis","t.rmax.ccf",0.3536,-16,0,-16,"FI","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.0076,-0.152044729959537,-0.00152023978527665,-0.150524490174261,"FI","Kinneret","Month","Zooplankton","*"
"FDis","absmax.ccf",0.9041,0.183952842419948,0.104897552215559,0.0790552902043888,"FI","Kinneret","Month","Zooplankton",""
"FDis","t.absmax.ccf",0.3559,-16,1,-17,"FI","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.7349,-0.1201705638167,-0.140022193086831,0.0198516292701309,"MVI","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.3322,-28,-8,-20,"MVI","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.854,0.181844911755338,0.141877932023721,0.0399669797316169,"MVI","Kinneret","Month","Zooplankton",""
"FDis","t.rmax.ccf",0.6308,3,-10,13,"MVI","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.9589,0.123794659388974,0.00131806231801927,0.122476597070955,"MVI","Kinneret","Month","Zooplankton",""
"FDis","absmax.ccf",0.8774,0.181844911755338,0.106926427483605,0.0749184842717324,"MVI","Kinneret","Month","Zooplankton",""
"FDis","t.absmax.ccf",0.6332,3,-10,13,"MVI","Kinneret","Month","Zooplankton",""
"FDis","rmin.ccf",0.0871,-0.175406409582821,-0.137627051187565,-0.0377793583952559,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FDis","t.rmin.ccf",0.5679,0,-6,6,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FDis","rmax.ccf",0.3915,0.129804138795828,0.136336699260333,-0.00653256046450479,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FDis","t.rmax.ccf",0.1995,-38,-4,-34,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FDis","r0.ccf",0.001,-0.175406409582821,-0.00170415082073951,-0.173702258762081,"Z_P.ratio","Kinneret","Month","Zooplankton","*"
"FDis","absmax.ccf",0.0784,-0.175406409582821,-0.111756900358076,-0.0636495092247444,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FDis","t.absmax.ccf",0.5594,0,-6,6,"Z_P.ratio","Kinneret","Month","Zooplankton",""
"FEve","rmin.ccf",0.8957,-0.107692835553121,-0.134838025371567,0.0271451898184456,"Community","Kinneret","Month","Zooplankton",""
"FEve","t.rmin.ccf",0.3986,-15,-3,-12,"Community","Kinneret","Month","Zooplankton",""
"FEve","rmax.ccf",0.2365,0.118981293661089,0.135354798956701,-0.0163735052956124,"Community","Kinneret","Month","Zooplankton",""
"FEve","t.rmax.ccf",0.6326,10,-4,14,"Community","Kinneret","Month","Zooplankton",""
"FEve","r0.ccf",0.2476,-0.0385324511822274,0.00138687809258902,-0.0399193292748164,"Community","Kinneret","Month","Zooplankton",""
"FEve","absmax.ccf",0.5397,0.118981293661089,0.104745175829582,0.014236117831506,"Community","Kinneret","Month","Zooplankton",""
"FEve","t.absmax.ccf",0.6226,10,-3,13,"Community","Kinneret","Month","Zooplankton",""
"FEve","rmin.ccf",0.7922,-0.116741158165916,-0.134608676133085,0.0178675179671696,"Density","Kinneret","Month","Zooplankton",""
"FEve","t.rmin.ccf",0.3893,-16,-4,-12,"Density","Kinneret","Month","Zooplankton",""
"FEve","rmax.ccf",0.048,0.102161232542221,0.135564394154139,-0.0334031616119175,"Density","Kinneret","Month","Zooplankton",""
